shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,start_timecode,end_timecode,duration_seconds,chapter,motion_class,sampled_mean_abs_rgb,sampled_changed_fraction,global_translation_total_pct,global_scale_speed_pct_per_s,valid,scale,scale_delta_pct,rotation_deg,translation_x_pct,translation_y_pct,inlier_ratio,residual_mean_abs,residual_changed_fraction
1,0,38,0.0,1.2667,00:00.000,00:01.267,1.2667,Cambrian,character_or_graphic_animation,0.171453,0.368498,89.6952,-78.9474,False,0.0,-100.0,-180.0,74.52,49.92,0.11111,0.124995,0.202795
2,38,184,1.2667,6.1333,00:01.267,00:06.133,4.8667,Cambrian,character_or_graphic_animation,0.040003,0.149315,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,184,242,6.1333,8.0667,00:06.133,00:08.067,1.9333,Cambrian,character_or_graphic_animation,0.029293,0.059236,0.0122,-0.0029,True,0.999943,-0.0057,0.0077,0.0014,0.0121,0.99068,0.05836,0.11651
4,242,542,8.0667,18.0667,00:08.067,00:18.067,10.0,Cambrian,character_or_graphic_animation,0.048564,0.103212,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,542,781,18.0667,26.0333,00:18.067,00:26.033,7.9667,Cambrian,character_or_graphic_animation,0.078845,0.147847,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,781,887,26.0333,29.5667,00:26.033,00:29.567,3.5333,Cambrian,character_or_graphic_animation,0.014349,0.035061,0.0188,0.0072,True,1.000254,0.0254,0.0048,-0.0173,-0.0073,0.96578,0.022396,0.066372
7,887,947,29.5667,31.5667,00:29.567,00:31.567,2.0,Cambrian,frozen_hold,0.003262,0.008229,0.0172,-0.0163,True,0.999674,-0.0326,-0.0023,0.0171,0.0019,0.97651,0.003194,0.005747
8,947,1078,31.5667,35.9333,00:31.567,00:35.933,4.3667,Cambrian,frozen_hold,0.005335,0.017014,0.0147,-0.0011,True,0.999951,-0.0049,-0.0061,0.0054,-0.0137,0.9913,0.004112,0.015503
9,1078,1147,35.9333,38.2333,00:35.933,00:38.233,2.3,Cambrian,frozen_hold,0.000291,0.0,0.0044,-0.0011,True,0.999974,-0.0026,0.0015,0.0005,0.0044,1.0,0.000148,0.0
10,1147,1177,38.2333,39.2333,00:38.233,00:39.233,1.0,Cambrian,frozen_hold,0.00026,0.0,0.0016,-0.0023,True,0.999977,-0.0023,0.0003,0.0014,0.0007,0.99916,0.000154,0.0
11,1177,1217,39.2333,40.5667,00:39.233,00:40.567,1.3333,Cambrian,frozen_hold,0.000449,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.9916,0.000325,0.0
12,1217,1518,40.5667,50.6,00:40.567,00:50.600,10.0333,Cambrian,character_or_graphic_animation,0.044147,0.184791,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,1518,1558,50.6,51.9333,00:50.600,00:51.933,1.3333,Ordovician,character_or_graphic_animation,0.096182,0.219992,7.7378,-10.3598,True,0.86187,-13.813,0.0031,6.9492,-3.4032,0.80601,0.248305,0.320573
14,1558,1713,51.9333,57.1,00:51.933,00:57.100,5.1667,Ordovician,character_or_graphic_animation,0.055907,0.192066,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,1713,1766,57.1,58.8667,00:57.100,00:58.867,1.7667,Ordovician,frozen_hold,4.5e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,3.7e-05,0.0
16,1766,1842,58.8667,61.4,00:58.867,01:01.400,2.5333,Ordovician,frozen_hold,0.000164,0.0,0.0007,-0.0002,True,0.999994,-0.0006,-0.0003,-0.0,0.0007,1.0,7.4e-05,0.0
17,1842,1919,61.4,63.9667,01:01.400,01:03.967,2.5667,Ordovician,character_or_graphic_animation,0.023059,0.061588,0.031,-0.0291,True,0.999252,-0.0748,-0.0083,0.0309,0.003,1.0,0.02098,0.081024
18,1919,2039,63.9667,67.9667,01:03.967,01:07.967,4.0,Ordovician,character_or_graphic_animation,0.032777,0.080235,0.0584,-0.0016,True,0.999934,-0.0066,-0.0549,0.0306,-0.0497,0.90411,0.024038,0.084861
19,2039,2063,67.9667,68.7667,01:07.967,01:08.767,0.8,Ordovician,frozen_hold,4.2e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,5.2e-05,0.0
20,2063,2181,68.7667,72.7,01:08.767,01:12.700,3.9333,Ordovician,subtle_local_motion,0.019109,0.033975,0.0051,-0.0027,True,0.999894,-0.0106,-0.0036,0.0051,0.0001,0.98679,0.005819,0.021493
21,2181,2244,72.7,74.8,01:12.700,01:14.800,2.1,Ordovician,character_or_graphic_animation,0.028761,0.048446,0.0049,0.0015,True,1.000031,0.0031,0.0028,-0.0042,0.0025,0.99324,0.056647,0.096892
22,2244,2633,74.8,87.7667,01:14.800,01:27.767,12.9667,Ordovician,character_or_graphic_animation,0.032814,0.112812,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,2633,2905,87.7667,96.8333,01:27.767,01:36.833,9.0667,Ordovician,character_or_graphic_animation,0.054931,0.170538,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,2905,2982,96.8333,99.4,01:36.833,01:39.400,2.5667,Ordovician,frozen_hold,0.003591,0.009558,0.0027,-0.0005,True,0.999986,-0.0014,-0.0008,0.0017,-0.0021,0.99057,0.006735,0.019097
25,2982,3092,99.4,103.0667,01:39.400,01:43.067,3.6667,Ordovician,character_or_graphic_animation,0.030461,0.073611,26.6831,-0.065,True,0.997617,-0.2383,0.2751,-26.6708,0.8104,0.5125,0.262364,0.38375
26,3092,3124,103.0667,104.1333,01:43.067,01:44.133,1.0667,Ordovician,frozen_hold,8.1e-05,0.0,0.0011,-0.0011,True,0.999988,-0.0012,-0.0004,0.001,0.0005,1.0,4.7e-05,0.0
27,3124,3209,104.1333,106.9667,01:44.133,01:46.967,2.8333,Ordovician,frozen_hold,0.004933,0.014462,0.0094,-0.0028,True,0.99992,-0.008,-0.0062,0.0087,-0.0035,0.99576,0.009348,0.028021
28,3209,3287,106.9667,109.5667,01:46.967,01:49.567,2.6,Ordovician,frozen_hold,0.003329,0.007352,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.001677,0.007465
29,3287,3311,109.5667,110.3667,01:49.567,01:50.367,0.8,Ordovician,frozen_hold,0.000179,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.9971,0.00018,0.0
30,3311,3330,110.3667,111.0,01:50.367,01:51.000,0.6333,Ordovician,frozen_hold,3e-06,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,7e-06,0.0
31,3330,3368,111.0,112.2667,01:51.000,01:52.267,1.2667,Ordovician,frozen_hold,0.000283,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99764,0.000267,0.0
32,3368,3382,112.2667,112.7333,01:52.267,01:52.733,0.4667,Ordovician,frozen_hold,0.000115,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.000102,0.0
33,3382,3507,112.7333,116.9,01:52.733,01:56.900,4.1667,Ordovician,frozen_hold,0.005994,0.011328,0.0042,0.0008,True,1.000034,0.0034,0.0033,-0.0036,0.0021,0.98928,0.007046,0.021389
34,3507,3548,116.9,118.2667,01:56.900,01:58.267,1.3667,Ordovician,whole_canvas_slide,0.105941,0.254714,10.4987,0.0113,True,1.000154,0.0154,0.0064,-0.0142,-10.4987,0.87163,0.067823,0.102847
35,3548,3602,118.2667,120.0667,01:58.267,02:00.067,1.8,Silurian,frozen_hold,6.4e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,6.4e-05,0.0
36,3602,3645,120.0667,121.5,02:00.067,02:01.500,1.4333,Silurian,frozen_hold,0.000133,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,9.1e-05,0.0
37,3645,3777,121.5,125.9,02:01.500,02:05.900,4.4,Silurian,frozen_hold,0.002365,0.007214,0.0018,-0.0003,True,0.999986,-0.0014,-0.0006,0.0015,-0.001,0.98471,0.003419,0.01309
38,3777,3934,125.9,131.1333,02:05.900,02:11.133,5.2333,Silurian,subtle_local_motion,0.023566,0.052265,0.0277,0.0058,True,1.000301,0.0301,0.0086,-0.0205,-0.0186,0.91453,0.012899,0.050139
39,3934,3995,131.1333,133.1667,02:11.133,02:13.167,2.0333,Silurian,frozen_hold,0.002918,0.004444,0.0019,-0.0003,True,0.999994,-0.0006,0.0016,-0.0006,0.0018,0.99446,0.005898,0.008924
40,3995,4056,133.1667,135.2,02:13.167,02:15.200,2.0333,Silurian,frozen_hold,0.002886,0.005174,0.0158,0.0045,True,1.000092,0.0092,-0.0066,-0.0015,-0.0157,0.99603,0.002647,0.009323
41,4056,4175,135.2,139.1667,02:15.200,02:19.167,3.9667,Silurian,character_or_graphic_animation,0.03931,0.076311,0.0174,-0.0036,True,0.999857,-0.0143,-0.0112,0.0164,-0.0058,0.97814,0.074165,0.149566
42,4175,4279,139.1667,142.6333,02:19.167,02:22.633,3.4667,Silurian,subtle_local_motion,0.009748,0.020504,0.0061,-0.0026,True,0.999909,-0.0091,-0.0038,0.006,-0.0012,0.99302,0.00938,0.035399
43,4279,4449,142.6333,148.3,02:22.633,02:28.300,5.6667,Silurian,character_or_graphic_animation,0.034271,0.107066,23.7687,-0.0538,True,0.996953,-0.3047,13.4708,3.4388,23.5186,0.6374,0.191565,0.504184
44,4449,4890,148.3,163.0,02:28.300,02:43.000,14.7,Silurian,character_or_graphic_animation,0.05987,0.164279,38.5658,-0.0102,True,0.998507,-0.1493,0.3003,-38.5574,0.8047,0.75177,0.23416,0.482674
45,4890,4912,163.0,163.7333,02:43.000,02:43.733,0.7333,Silurian,frozen_hold,0.000249,0.0,0.0025,0.003,True,1.000022,0.0022,-0.0008,0.0014,-0.0021,0.99674,0.000228,0.0
46,4912,5011,163.7333,167.0333,02:43.733,02:47.033,3.3,Silurian,character_or_graphic_animation,0.01636,0.048663,0.0034,0.0011,True,1.000037,0.0037,-0.0006,-0.0011,-0.0032,0.99804,0.034324,0.097205
47,5011,5032,167.0333,167.7333,02:47.033,02:47.733,0.7,Silurian,frozen_hold,5e-05,0.0,0.0032,0.004,True,1.000028,0.0028,-0.0006,-0.0015,-0.0028,1.0,2.8e-05,0.0
48,5032,5069,167.7333,168.9667,02:47.733,02:48.967,1.2333,Silurian,frozen_hold,4.8e-05,0.0,0.0015,0.0021,True,1.000026,0.0026,0.0002,-0.0003,-0.0015,1.0,4.7e-05,0.0
49,5069,5191,168.9667,173.0333,02:48.967,02:53.033,4.0667,Silurian,character_or_graphic_animation,0.019425,0.061562,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.59944,0.035771,0.11467
50,5191,5352,173.0333,178.4,02:53.033,02:58.400,5.3667,Silurian,frozen_hold,0.001321,0.004557,0.003,0.0004,True,1.000019,0.0019,0.002,-0.0024,0.0018,0.9989,0.002287,0.009097
51,5352,5388,178.4,179.6,02:58.400,02:59.600,1.2,Devonian,character_or_graphic_animation,0.135275,0.349375,7.9121,-10.3273,True,0.876072,-12.3928,-0.0542,6.2531,-4.8477,0.71659,0.21506,0.319878
52,5388,5455,179.6,181.8333,02:59.600,03:01.833,2.2333,Devonian,character_or_graphic_animation,0.0265,0.092492,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,5455,5495,181.8333,183.1667,03:01.833,03:03.167,1.3333,Devonian,frozen_hold,1.3e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,9e-06,0.0
54,5495,5570,183.1667,185.6667,03:03.167,03:05.667,2.5,Devonian,frozen_hold,0.000278,0.0,0.0061,0.0009,True,1.000023,0.0023,-0.0024,-0.0007,-0.0061,1.0,0.000156,0.0
55,5570,5640,185.6667,188.0,03:05.667,03:08.000,2.3333,Devonian,subtle_local_motion,0.010079,0.022943,0.0308,0.015,True,1.00035,0.035,0.0317,-0.0308,0.0006,0.97806,0.017877,0.043802
56,5640,5745,188.0,191.5,03:08.000,03:11.500,3.5,Devonian,frozen_hold,0.004202,0.00875,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99816,0.004082,0.01342
57,5745,5835,191.5,194.5,03:11.500,03:14.500,3.0,Devonian,character_or_graphic_animation,0.037362,0.0854,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
58,5835,5919,194.5,197.3,03:14.500,03:17.300,2.8,Devonian,subtle_local_motion,0.008906,0.014931,0.0086,0.0004,True,1.000011,0.0011,-0.0035,-0.0006,-0.0086,0.98463,0.008386,0.027517
59,5919,5971,197.3,199.0333,03:17.300,03:19.033,1.7333,Devonian,frozen_hold,8.7e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,7.6e-05,0.0
60,5971,6029,199.0333,200.9667,03:19.033,03:20.967,1.9333,Devonian,frozen_hold,0.000123,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,9.2e-05,0.0
61,6029,6806,200.9667,226.8667,03:20.967,03:46.867,25.9,Devonian,character_or_graphic_animation,0.049273,0.139141,93.6572,-3.6756,False,0.048013,-95.1987,1.0326,58.5126,73.1296,0.4,0.414237,0.979323
62,6806,6840,226.8667,228.0,03:46.867,03:48.000,1.1333,Devonian,frozen_hold,0.000141,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.000101,0.0
63,6840,6870,228.0,229.0,03:48.000,03:49.000,1.0,Devonian,frozen_hold,7e-06,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,5e-06,0.0
64,6870,6919,229.0,230.6333,03:49.000,03:50.633,1.6333,Devonian,frozen_hold,2.4e-05,0.0,0.0012,0.0012,True,1.000019,0.0019,0.0015,-0.0006,0.001,1.0,3.2e-05,0.0
65,6919,7050,230.6333,235.0,03:50.633,03:55.000,4.3667,Devonian,frozen_hold,0.002015,0.005226,0.0155,0.0019,True,1.000084,0.0084,-0.0044,-0.0061,-0.0142,0.99764,0.00238,0.007865
66,7050,7104,235.0,236.8,03:55.000,03:56.800,1.8,Devonian,frozen_hold,9.7e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,8.4e-05,0.0
67,7104,7245,236.8,241.5,03:56.800,04:01.500,4.7,Devonian,character_or_graphic_animation,0.045284,0.068707,0.0007,0.0009,True,1.00004,0.004,0.0006,-0.0007,-0.0002,0.96854,0.089263,0.13559
68,7245,7291,241.5,243.0333,04:01.500,04:03.033,1.5333,Carboniferous,character_or_graphic_animation,0.099723,0.257257,9.682,-2.5475,True,0.960939,-3.9061,-0.0048,1.9448,-9.4847,0.72353,0.116114,0.224896
69,7291,7351,243.0333,245.0333,04:03.033,04:05.033,2.0,Carboniferous,frozen_hold,5.7e-05,0.0,0.001,0.0003,True,1.000006,0.0006,-0.0,0.0001,-0.001,0.9991,6.1e-05,0.0
70,7351,7472,245.0333,249.0667,04:05.033,04:09.067,4.0333,Carboniferous,character_or_graphic_animation,0.010104,0.035938,0.0158,-0.0143,True,0.999423,-0.0577,-0.0083,0.0074,0.014,0.97268,0.019849,0.071667
71,7472,7635,249.0667,254.5,04:09.067,04:14.500,5.4333,Carboniferous,character_or_graphic_animation,0.032772,0.103142,0.0061,-0.0017,True,0.999905,-0.0095,0.0087,-0.0043,0.0043,0.9375,0.054222,0.180816
72,7635,7678,254.5,255.9333,04:14.500,04:15.933,1.4333,Carboniferous,frozen_hold,0.00011,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,5.7e-05,0.0
73,7678,7773,255.9333,259.1,04:15.933,04:19.100,3.1667,Carboniferous,frozen_hold,0.004986,0.008733,0.0162,-0.0037,True,0.999882,-0.0118,0.0025,0.008,0.0141,0.99861,0.003949,0.016128
74,7773,7853,259.1,261.7667,04:19.100,04:21.767,2.6667,Carboniferous,subtle_local_motion,0.010794,0.021666,0.0164,-0.008,True,0.999786,-0.0214,-0.0015,0.0102,0.0128,0.98407,0.010688,0.038715
75,7853,7924,261.7667,264.1333,04:21.767,04:24.133,2.3667,Carboniferous,frozen_hold,0.006165,0.009948,0.0094,-0.0011,True,0.999975,-0.0025,0.0053,-0.0043,0.0084,0.97474,0.006312,0.016389
76,7924,8333,264.1333,277.7667,04:24.133,04:37.767,13.6333,Carboniferous,character_or_graphic_animation,0.071488,0.201553,0.2357,-0.0047,True,0.999354,-0.0646,0.0489,0.0165,0.2351,0.91549,0.017732,0.041233
77,8333,8527,277.7667,284.2333,04:37.767,04:44.233,6.4667,Carboniferous,subtle_local_motion,0.01692,0.03539,0.0652,-0.0069,True,0.999552,-0.0448,0.0159,0.0422,0.0497,0.9567,0.013735,0.019635
78,8527,8598,284.2333,286.6,04:44.233,04:46.600,2.3667,Carboniferous,subtle_local_motion,0.008631,0.018082,0.0048,-0.003,True,0.999928,-0.0072,-0.0025,0.0032,-0.0036,0.98775,0.004912,0.021979
79,8598,8765,286.6,292.1667,04:46.600,04:52.167,5.5667,Carboniferous,frozen_hold,0.002581,0.003689,0.012,-0.0009,True,0.999951,-0.0049,-0.008,0.005,-0.0109,0.98017,0.003785,0.006007
80,8765,8877,292.1667,295.9,04:52.167,04:55.900,3.7333,Carboniferous,character_or_graphic_animation,0.023369,0.085087,0.0342,0.0075,True,1.000279,0.0279,0.036,-0.0341,-0.002,0.81481,0.04084,0.173507
81,8877,8967,295.9,298.9,04:55.900,04:58.900,3.0,Carboniferous,frozen_hold,0.001,0.002648,0.0139,0.0014,True,1.000041,0.0041,0.0091,-0.0051,0.0129,1.0,0.001948,0.004514
82,8967,9015,298.9,300.5,04:58.900,05:00.500,1.6,Carboniferous,frozen_hold,3.9e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,3.4e-05,0.0
83,9015,9048,300.5,301.6,05:00.500,05:01.600,1.1,Permian,character_or_graphic_animation,0.158343,0.462882,6.973,-10.9089,True,0.880002,-11.9998,-0.0097,5.9648,-3.6116,0.79215,0.193409,0.309045
84,9048,9084,301.6,302.8,05:01.600,05:02.800,1.2,Permian,frozen_hold,0.000114,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,9.9e-05,0.0
85,9084,9190,302.8,306.3333,05:02.800,05:06.333,3.5333,Permian,subtle_local_motion,0.017445,0.033897,0.0014,-0.0001,True,0.999996,-0.0004,-0.0012,0.0005,-0.0013,0.98523,0.028385,0.059236
86,9190,9257,306.3333,308.5667,05:06.333,05:08.567,2.2333,Permian,frozen_hold,0.000116,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99741,9.8e-05,0.0
87,9257,9304,308.5667,310.1333,05:08.567,05:10.133,1.5667,Permian,frozen_hold,0.000837,0.0,0.0096,-0.0083,True,0.99987,-0.013,-0.0036,0.0091,0.003,0.99742,0.001396,0.0
88,9304,9443,310.1333,314.7667,05:10.133,05:14.767,4.6333,Permian,character_or_graphic_animation,0.027232,0.082066,0.0163,0.0035,True,1.000161,0.0161,0.0134,-0.0162,0.0018,0.88967,0.030831,0.111962
89,9443,9473,314.7667,315.7667,05:14.767,05:15.767,1.0,Permian,frozen_hold,0.0001,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.000107,0.0
90,9473,9658,315.7667,321.9333,05:15.767,05:21.933,6.1667,Permian,character_or_graphic_animation,0.045453,0.130451,0.0173,-0.0038,True,0.999765,-0.0235,0.0,-0.0015,0.0172,0.97892,0.00998,0.021007
91,9658,10150,321.9333,338.3333,05:21.933,05:38.333,16.4,Permian,subtle_local_motion,0.011723,0.028342,0.0233,0.0011,True,1.000176,0.0176,0.0143,-0.0182,0.0145,0.97119,0.008058,0.021701
92,10150,10217,338.3333,340.5667,05:38.333,05:40.567,2.2333,Permian,frozen_hold,0.003736,0.008108,0.0081,0.0042,True,1.000094,0.0094,0.0058,-0.0081,0.0005,0.98962,0.003304,0.011128
93,10217,10344,340.5667,344.8,05:40.567,05:44.800,4.2333,Permian,character_or_graphic_animation,0.030021,0.096719,39.4401,-0.0471,True,0.998005,-0.1995,-0.2071,-39.438,-0.4054,0.77632,0.224778,0.534549
94,10344,10459,344.8,348.6333,05:44.800,05:48.633,3.8333,Permian,subtle_local_motion,0.010084,0.022561,0.0323,-0.0024,True,0.999909,-0.0091,0.0167,-0.0113,0.0303,0.9,0.012343,0.037153
95,10459,10531,348.6333,351.0333,05:48.633,05:51.033,2.4,Permian,character_or_graphic_animation,0.013215,0.040338,0.0055,0.005,True,1.000121,0.0121,0.0002,-0.0054,-0.001,0.92945,0.019861,0.07724
96,10531,10557,351.0333,351.9,05:51.033,05:51.900,0.8667,Permian,frozen_hold,3.5e-05,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,1.0,3e-05,0.0
97,10557,10591,351.9,353.0333,05:51.900,05:53.033,1.1333,Permian,frozen_hold,0.000441,0.0,0.0016,0.0019,True,1.000021,0.0021,0.0002,-0.0012,-0.0011,0.99839,0.000451,0.0
98,10591,10628,353.0333,354.2667,05:53.033,05:54.267,1.2333,Permian,frozen_hold,5.3e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,4e-05,0.0
99,10628,10695,354.2667,356.5,05:54.267,05:56.500,2.2333,Permian,frozen_hold,0.002738,0.007248,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.98667,0.005247,0.014462
100,10695,10794,356.5,359.8,05:56.500,05:59.800,3.3,Permian,frozen_hold,0.004874,0.010807,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99578,0.003584,0.012917
101,10794,10897,359.8,363.2333,05:59.800,06:03.233,3.4333,Permian,character_or_graphic_animation,0.041931,0.091797,0.0155,-0.0022,True,0.999925,-0.0075,-0.0065,0.0122,-0.0095,0.93478,0.082127,0.180451
102,10897,10947,363.2333,364.9,06:03.233,06:04.900,1.6667,Permian,frozen_hold,5.5e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,4.3e-05,0.0
103,10947,11022,364.9,367.4,06:04.900,06:07.400,2.5,Permian,frozen_hold,0.000949,0.0,0.0133,-0.0002,True,0.999996,-0.0004,0.006,-0.0036,0.0128,0.97727,0.001174,0.0
104,11022,11124,367.4,370.8,06:07.400,06:10.800,3.4,Permian,character_or_graphic_animation,0.026375,0.090035,0.0081,0.0019,True,1.000064,0.0064,0.005,-0.0058,0.0057,0.99099,0.047499,0.162292
105,11124,11163,370.8,372.1,06:10.800,06:12.100,1.3,Triassic,character_or_graphic_animation,0.155491,0.446024,8.6123,-5.2928,True,0.931193,-6.8807,-0.0042,3.4393,-7.8958,0.78298,0.128191,0.260035
106,11163,11184,372.1,372.8,06:12.100,06:12.800,0.7,Triassic,frozen_hold,3.9e-05,0.0,0.0012,-0.0011,True,0.999992,-0.0008,0.0007,-0.0004,0.0011,1.0,4.2e-05,0.0
107,11184,11279,372.8,375.9667,06:12.800,06:15.967,3.1667,Triassic,frozen_hold,0.003533,0.007144,0.0033,-0.0008,True,0.999974,-0.0026,0.0008,-0.0026,-0.002,0.99228,0.002866,0.0125
108,11279,11479,375.9667,382.6333,06:15.967,06:22.633,6.6667,Triassic,character_or_graphic_animation,0.023853,0.064219,0.0027,0.0004,True,1.000029,0.0029,0.0018,-0.0023,-0.0014,0.98864,0.022585,0.108056
109,11479,11568,382.6333,385.6,06:22.633,06:25.600,2.9667,Triassic,character_or_graphic_animation,0.047066,0.131736,100.548,-33.7079,False,0.0,-100.0,0.0,89.0625,46.6667,0.4,0.503535,0.680208
110,11568,11806,385.6,393.5333,06:25.600,06:33.533,7.9333,Triassic,character_or_graphic_animation,0.061574,0.149904,0.023,0.0011,True,1.000091,0.0091,-0.0063,0.0069,-0.0219,0.94118,0.044031,0.149931
111,11806,11872,393.5333,395.7333,06:33.533,06:35.733,2.2,Triassic,frozen_hold,0.003938,0.007318,0.0216,-0.0112,True,0.999753,-0.0247,-0.0026,0.0214,0.0028,0.9859,0.00716,0.014653
112,11872,11976,395.7333,399.2,06:35.733,06:39.200,3.4667,Triassic,subtle_local_motion,0.009746,0.02276,0.0319,-0.0071,True,0.999753,-0.0247,0.006,-0.002,0.0318,0.93832,0.011878,0.037743
113,11976,12025,399.2,400.8333,06:39.200,06:40.833,1.6333,Triassic,frozen_hold,0.001951,0.005495,0.0128,-0.0043,True,0.999929,-0.0071,0.0024,0.0055,0.0116,0.98785,0.002943,0.009705
114,12025,12080,400.8333,402.6667,06:40.833,06:42.667,1.8333,Triassic,frozen_hold,0.000218,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.000149,0.0
115,12080,12312,402.6667,410.4,06:42.667,06:50.400,7.7333,Triassic,character_or_graphic_animation,0.048975,0.15704,57.7695,-0.0333,False,0.997421,-0.2579,-0.3703,55.6261,-15.5903,0.74242,0.291743,0.841771
116,12312,12382,410.4,412.7333,06:50.400,06:52.733,2.3333,Triassic,character_or_graphic_animation,0.024073,0.081883,0.0093,-0.0043,True,0.9999,-0.01,-0.0034,0.0056,-0.0074,0.84778,0.045922,0.157882
117,12382,12411,412.7333,413.7,06:52.733,06:53.700,0.9667,Triassic,frozen_hold,7.3e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,6.6e-05,0.0
118,12411,12461,413.7,415.3667,06:53.700,06:55.367,1.6667,Triassic,frozen_hold,0.000128,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.0001,0.0
